Sr_no,College Name,Location,Type,Courses offered,Exam accepted,Average Package,Total Fees Range,Rating
1,IIT Bombay - Indian Institute of TechnologyMumbaiGovt,Mumbai,Govt,104 Courses,"['GATEJEE', 'MainJEE', 'AdvancedCOAPIIT', 'JAMCEEDUGC', 'NETCSIR', 'NET', '+6', '']",₹8.4 - 55.37 LPA,₹21.3 K - 10 L,4.6
2,IIT Delhi - Indian Institute of TechnologyDelhiGovt,Delhi,Govt,117 Courses,"['GATEJEE', 'MainJEE', 'AdvancedIIT', 'JAMCEEDUCEEDUGC', 'NET', '+5', '']",₹12.5 - 22 LPA,₹30 K - 8.7 L,4.5
3,DTU - Delhi Technological UniversityDelhiGovt,Delhi,Govt,78 Courses,"['GATEJEE', 'MainDASA', 'UGJAC', 'DelhiCUET-PGCBSE', '12thISCCEEDUCEED', '+7', '']",₹9 - 13 LPA,₹36 K - 6.4 L,4.3
4,Manipal Institute of TechnologyManipalPvt,Manipal,Pvt,77 Courses,"['METKarnataka', 'PGCETGATEKCETDASA', 'UGKMATCBSE', '12thKarnataka', '2nd', 'PUC', '+7', '']",₹6.2 - 8.88 LPA,₹2.2 L - 13.5 L,4.3
5,"Amrita School of Engineering, Amrita Vishwa Vidyapeetham, CoimbatoreCoimbatorePvt",Coimbatore,Pvt,32 Courses,"['JEE', 'MainTNEAAEEEGATE', '+2', '']",₹4.5 - 6.41 LPA,₹1.8 L - 18 L,4.1
6,KIIT School of EngineeringBhubaneswarPvt,Bhubaneswar,Pvt,52 Courses,"['KIITEEOJEECUET-PG', '+1', '']",₹4.5 - 8 LPA,₹3.8 L - 14.8 L,4.3
7,VIT VelloreVellorePvt,Vellore,Pvt,85 Courses,"['VITMEEVITEEETNEACBSE', '12thISCTamilnadu', '12thNATACEEDUCEED', '+7', '']",₹3 - 8.1 LPA,₹1 L - 15.5 L,4.2
8,MNNIT Allahabad - Motilal Nehru National Institute of TechnologyAllahabadGovt,Allahabad,Govt,53 Courses,"['GATECCMTJEE', 'MainDASA', 'UGCATUGC', 'NETGPATCSIR', 'NETMATXAT', '+8', '']",₹11 - 12 LPA,₹48 K - 6.9 L,4.1
9,"Birla Institute of Technology, MesraRanchiPvt",Ranchi,Pvt,62 Courses,"['GATEJEE', 'MainGPATIIT', 'JAMISCJAC', '12thCUET-PGCBSE', '12thCBSEMAT', '+8', '']",₹3.18 - 9.9 LPA,₹2.5 L - 17.3 L,3.9
10,KIIT - Kalinga Institute of Industrial TechnologyBhubaneswarPvt,Bhubaneswar,Pvt,28 Courses,"['KIITEEOJEEGATENATA', '+2', '']",₹6 - 10.2 LPA,₹2 K - 15.9 L,4.1
11,IIIT Delhi - Indraprastha Institute of Information TechnologyDelhiGovt,Delhi,Govt,26 Courses,"['GATEJEE', 'MainJAC', 'DelhiUCEED', '+2', '']",₹15.41 - 17 LPA,₹2 L - 18 L,4.5
